title,description
Housing crisis  and the capital,"Sir, – Sheila Deegan tells us that a “four bedroom, four bathroom detached house in a lovely rural village in Co Sligo was bought for ¤185,000 recently” (Letters, May 25th). What use would that house be to a young garda based in Pearse Street, or to a young nurse based in St James’s Hospital? We nee"
UK house prices rise for a ninth consecutive month,"UK house prices rose for a ninth consecutive month in April as the housing market continued to defy an escalating cost of living crisis. The 0.3 per cent gain marked the longest winning streak since 2016 and lifted the average price of a home to a record £267,620 (€316,000) , according to a survey b"
Sale price of Chris de Burgh’s house drops 21% to €9.85m,"The asking price for singer Chris de Burgh’s Georgian mansion in Co Wicklow has dropped more than one-fifth to €9.85 million. Bushey Park, an eight-bedroom country house on 27 acres about 1½km outside Enniskerry, has just been reduced by €2,650,000, or 21.2 per cent, from the €12.5 million it had be"
Burlington Real Estate sold to UK’s Gresham House for €1.8m,"UK asset manager Gresham House has acquired Burlington Real Estate, which has €350 million of property assets under management, for an initial consideration of €1.8 million. Dublin-based Burlington Real Estate was established in 2012 by John Bruder and Niall Kavanagh, both former executives of Treas"
House-price inflation set to stay in double digits for much of 2022,House-price inflation is expected to remain at double-digit levels for much of 2022 as the mismatch between what is for sale and what buyers want continues. Two new reports on the housing market paint a picture of a sector under strain due to a lack of supply and increased demand driven by Covid-rel
How did housing become one of the most divisive issues on the planet?,"How have we let housing, a basic social commodity, become one of the most divisive issues on the planet? There is perhaps no one answer to this, but there are several partial explanations. Somewhere along the line, housing became a highly financialised asset, a vehicle for wealth and investment rath"
The housing crisis is Europe-wide – the EU must help fix it,"It is unusual to see “Europe” and “housing” in the same sentence. Except, perhaps, for mortgage interest rates and European Central Bank-inspired loan-to-value and loan-to-income limits on mortgage lending. The European Union does not provide housing. It has no plans to do so. Housing is really seen"
Time to move from promise to delivery on housing and infrastructure,"Not many people will look back fondly on 2021. In construction, there is some small hope that the year just gone will be the start of a ""decade of delivery"" where our industry delivers on Ireland's housing, infrastructure and climate change needs. Three Government strategies – Housing for All, the N"
House prices in Dublin up 8.8% over past year,"The average price of a resale residential property in Dublin rose 8.8 per cent in the first quarter when compared with the same period last year, according to property advisor DNG. The group’s latest house price gauge suggests strong demand and a low level of available stock on the market served to "
1820s villa-style house in Blackrock has planning for a mews,"Situated just a few doors up from the intersection with Frascati Road in Blackrock, number 76 Carysfort Avenue is a fine family home that is being brought to the market with planning permission for a two-storey, two-bedroom mews house to the rear of its large garden. Its owners have been in situ sin"
State spending on housing since 2016 increased almost threefold,"State spending on housing has risen nearly threefold since 2016 in response to the “significant” number of families and individuals in need of housing support, the Department of Housing has said. The figures emerged as the Department of Housing separately published statistics showing there were 8,83"
The Irish Times view on housing supply,"There are some encouraging indicators of increased supply coming on stream in the housing market. But it will be a long road back to any kind of normality in the rental market while, for potential house buyers, supply remains well below demand. In the rental market, the exit of private landlords con"
Irish house prices undervalued? Shows how misleading stats can be,"Ever hear the one about the statistician who drowned in a lake, average depth 12in? Averages can be elucidating; they can also be infuriating. Central Statistics Office (CSO) data suggest house prices rose by 2.3 per cent between 2005 and 2020 while average incomes, over the same period, rose by 32 "
"Safe harbour at Victorian country house on the shore of Lough Derg, for €2.95m","There may be many big country piles for sale across Ireland, but few are within a short walk or an even shorter boat ride of the local village. This is what makes Slevoir House most notable: its lakeshore setting. Situated on the northeastern shore of Lough Derg, the largest of the river Shannon’s l"
"No housing bubble brewing, says European Commission",The European Commission has found there is a limited risk of another housing bubble developing in Ireland due to stricter rules that have reduced risk in the financial system. The positive finding comes despite the fact that house prices are expected to continue to rise this year. Cliff Taylor giv
ECB and housing policy,"Sir, – The letter on the ECB and housing policy ( December 27th ) seems to overlook the significant role of the ECB and other EU institutions in relation to housing. Since 2014, through the Single Supervisory Mechanism, the ECB exercises direct prudential supervision of all the significant euro zone"
The price of houses,"Sir, – Congratulations to the Minister for Housing, Local Government and Heritage Darragh O’Brien for achieving a 15 per cent increase in the price of houses last year. His policy of enabling as much money as possible to be injected into the housing market when there is a shortage of supply is clear"
UK house prices rise at fastest pace in 15 years,"UK house prices registered their strongest three-month growth in 15 years in November, boosted by demand for a limited supply of housing stock, low mortgage rates and a strong labour market. The average price of a UK property hit a record high of £273,000 (€321,000) last month, according to the mort"
"Religious orders, lands and housing","Sir, – The Religious Sisters of Charity have joined the gold rush by seeking to have about 10 acres of land on the Merrion Road in Dublin rezoned for residential development (""Move by Sisters of Charity to rezone Merrion Road land would boost its value to €50 million"", News, February 22nd ). An ind"
Budget 2023: What you can expect — from housing to taxes,"After several years of minimal change, this year the budget looks set to be back with a bang. With the Government setting aside about €1 billion to help with cost of living measures, it’s likely that not only will there be something for everyone in the audience, but there might actually be something"
"Sinn Féin would pursue ‘radical’ alternative housing policy, says Doherty","Pearse Doherty of Sinn Féin said his party would pursue ""a radical departure"" from the housing policy of successive Irish governments if elected. This would involve a doubling of capital investment in housing and “specific interventions in the market” combined with reforms in planning to deliver mor"
The Irish Times view on the housing crisis: delivery must be the focus,"There was no good news in the latest house price inflation figures, with a rise of 14.4 per cent in annual prices worsening the affordability crisis in key parts of the market. There are signs that housing supply is set to rise but, inevitably, this process will be gradual and big questions remain a"
Will the price of Irish houses just keep on rising?,"Another month and another acceleration in the rate of property price increases, this time to 14.4 per cent. The headline figures are clear and point to worsening affordability, driven by chronically short supply in key areas of the market. But what are the key trends behind the figures which will de"
"Housing a factor in nurse shortage at Dublin child mental health facility, HSE says","The cost and availability of accommodation is a contributing factor to the nursing shortage that resulted in the temporary closure of beds at a Dublin children’s mental health service, politicians have been told. The Health Service Executive (HSE) last month confirmed it temporarily closed 11 of the"
"‘People are really looking for a home, not just a house’","Ireland’s property market has always been a hot topic and, following the pandemic, has become even more so. With restrictions on construction and viewings lifted, will the impacts of the last couple of years loom over the residential market for years to come? Graham Murray, regional director, Sherry"
House price trends: which way is market going?,"One report says house price growth is slowing in the face of cost-of-living concerns and rising interest rates. Another says they’re accelerating, fast approaching the Celtic Tiger peak, amid chronically low levels of supply. Confused? You’re not the only one. Last Friday, property website MyHome.i"
Enniskerry planning battles are a microcosm of State’s housing challenges,"Like many Irish teenagers who grew up in a small village, I spent most of my youth planning how I might get out of the place. Yet I have spent much of my adulthood coveting a return to live in Enniskerry, the Wicklow village near the Dublin border where I grew up. Invariably over the years, it was j"
Time for reality check on State’s capacity to build social housing,"One interpretation of the 2020 general election result and Sinn Féin’s subsequent rise in opinion polls is that the electorate is now increasingly left leaning. Some argue there is latent demand for a European social-democratic model with a greater role for the State in providing public services, in"
Opinion: Government does not want house prices to fall,"There is widespread agreement that rents and house prices are too high relative to incomes, leading to affordability issues. There is also a strong consensus on the remedy: representatives of the stockbroking, banking, property and not-for-profit industries concur that the solution is to build more "
House price ‘danger’,"Sir, – My dictionary tells me that “to warn” means to inform someone in advance of a possible danger, problem or other unpleasant situation. A headline in your Business section (June 23rd) has the ESRI warning of a significant slowdown in house price growth. I suspect those trying to buy their first"
Tracker mortgage bill tops €1bn; house price inflation cools; and no call to ease bankers’ pay rules,"The tracker mortgage scandal has now cost Irish banks more than €1 billion in refunds, compensation and fines, after AIB and its EBS unit were landed with a record regulatory penalty on Thursday for their role in the overcharging affair. It comes as Minister for Finance Paschal Donohoe prepare"
Miriam Lord: Micheál’s field of dreams for housing faces some ugly home truths,"Micheál’s Field of Dreams: Build it and they will come. But who will come? First-time buyers desperate to escape crippling rent or property investors keen to cash in on their misery? In the Dáil, the hamster wheel of housing keeps on spinning. Round and round it goes with the same arguments from the"
"Steep drop in living standards, house price growth to fall and Apple leads Top 1000","The Economic and Social Research Institute (ESRI) says households in the Republic are facing the biggest drop in living standards since the 2008 financial crisis as earnings from work fail to keep pace with soaring inflation. It is also predicting a slowdown in house price growth , or perhaps"
UK housing boom starts to fade as cost-of-living squeeze tightens – Halifax,"British house prices in January rose at their slowest monthly pace since June last year as a post-lockdown boom in the housing market started to fade and a growing cost-of-living squeeze is likely to add a further brake, mortgage lender Halifax said. House prices in January rose by 0.3 per cent from"
Age of house buyers rises with most transactions involving two people,"The age profile of house buyers in Ireland has risen significantly in the past 10 years, while the proportion of properties being purchased jointly — by two buyers instead of one — now accounts for almost two-thirds of transactions, a reflection of the rising cost of property. Central Statistics Off"
The dream 14: Our favourite houses of 2021,"Raffeen Scilly, Kinsale, Co Cork Status Came to the market in September seeking €4.9 million and is still for sale Agent Colliers International and Engel and Voelkers When it comes to a dream list of house requirements, Raffeen in Kinsale has it all . A restored period waterside home"
Tax implications of paying off Fair Deal debt and later selling inherited house,"My mother died last August 2021 and myself and my two brothers owe €120,000 to the Fair Deal scheme to be paid by August 2022. The house has been valued at between €800,000 and €1.2 million. We understand you can inherit €335,000 each without paying tax. Two of us would like to pay off the €120"
"Emergency measures needed to address housing crisis, developer says","Emergency measures to tackle the State’s housing crisis are needed, including changes to zoning and planning rules, according to one of Ireland’s biggest developers. Michael O’Flynn said unprecedented actions were taken in the past to deal with the banking crisis, and, more recently, the Covid-19 pa"
Housing: Locals priced out of market along Causeway coast,"Just as seaside areas in the Republic have seen house prices grow due to the pandemic, so too has Northern Ireland’s north coast. The beaches of Counties Derry and Antrim have long been a popular destination for holidays and day trips, especially the area around Portstewart and Portrush, which hoste"
House prices,"Sir, – While John FitzGerald may be partially correct in stating that ""Savings glut helps drive big house increases"", this does not explain the exceptional increase of 15 per cent in house prices over the past year ("" Pandemic savings have not yet hit house prices "", Business Opinion, April 22nd). T"
China Evergrande says it has restarted work at most of its housing projects,"China Evergrande Group said it has resumed construction at most of its housing projects as authorities push the debt-laden developer to pay migrant workers and deliver apartments. Nearly 92 per cent of Evergrande’s property projects have so far restarted, compared with just about 50 per cent at the "
Executive pay booms; social housing fails to deliver; and TikTok withdraws a job offer,"The pay packages of the chief executives at Ireland's top listed companies jumped last year to almost double pre-Covid levels, writes Joe Brennan, fuelled by bonuses as companies' earnings and share prices advanced globally on the back of economic stimulus from central banks and governments during "
"More houses does not mean cheaper, Ulster Bank mortgages and your health benefits","Average home prices increased by 15.2 per cent in the year to March, and, while an expected increase in supply may ease this growth, “severe” cost pressures building up in construction input prices could offset this, according to a new report, writes Colin Gleeson. The Housing Market Monitor for t"
"Housing strategy a plan for ‘squeezed middle’, says Minister",The Government’s Housing for All strategy “is a plan for the squeezed middle” to give them an opportunity to buy their own homes and to help “those who need it”. Minister for Housing Darragh O’Brien said “it will ramp up State building of social homes to help eliminate homelessness and address waiti
House prices forecast to rise by 5% as supply struggles to meet demand,"Property prices are expected to rise by about 5 per cent this year as supply shortages, pent-up demand and pandemic savings continue to drive activity, according to a survey of estate agents. The Society of Chartered Surveyors Ireland (SCSI) said 90 per cent of 189 estate agents surveyed in December"
Jennifer O’Connell: Rebranding housing insecurity as a lifestyle choice is nonsense,"Silicon Valley executives are more prone to spouting aspirational nonsense about revolutions than the cast of Les Misérables. The latest disruptions supposedly coming our way are revolutions in travel and housing, according to Airbnb's co-founder Brian Chesky. Apparently oblivious – or determinedly "
Tackling house-building costs better for economy than easier credit – Central Bank,"Central Bank of Ireland deputy governor Sharon Donnery warned on Tuesday against using a relaxation of mortgage rules to boost house-building activity, suggesting the economy would fare better from Government measures to reduce construction costs through planning levies, building regulations and the"
"Housing should be affordable, secure and appropriate. It’s a right",House prices and rents in Ireland are unaffordable. This need not be the case. The Government has the opportunity with its new housing strategy – due this week – to provide hope for the many thousands desperate to find an affordable home. High house prices and rents are bad for the economy. The star
House price inflation jumps to 7-year high of 15.3%,House price inflation surged to a seven-year high of 15.3 per cent in February as red hot demand continues to outstrip supply. This was up from an annual rate of 14.8 per cent the previous month and just 3 per cent a year ago. Price growth in the State’s property market has risen almost continually 
Investment funds are ‘having a laugh’ at Ireland’s housing policy - Desmond,"International investment funds are ""having a laugh"" at the Government over its housing strategy and its social housing policy is a ""shocking mismanagement of public funds"", businessman Dermot Desmond has told the Government. In private letters sent last December and February, Mr Desmond criticised G"
A 37-acre Central Bank site near M50 set to be designated for social housing,"A large tract of Central Bank lands near the M50 motorway in south Dublin is set to be designated for social and affordable housing as the bank reviews the future of its high-security currency centre in Sandyford. The 37-acre site, home of the national mint for decades, is in the sights of the Land "
The EU and housing crisis,"Sir, – It is entirely reasonable that the European Central Bank and other EU institutions should be more involved in relation to national as well as EU-wide housing policy, as suggested by Anne Barrington (""The housing crisis is Europe-wide – the EU must help fix it"", Opinion, December 22nd ). EU i"
"Housing squeeze not going away for buyers, and could get worse for renters","The affordability squeeze in housing shows no sign of easing – on the contrary, rents and prices continue to rise and have exceeded income growth in recent years. Analysis for Dublin City Council as it formulates its development plan from 2022 to 2028, much of it undertaken by KPMG, highlights some "
"Housing prices rose almost 8% in 2021, Daft finds","Irish housing prices rose by an average of 7.7 per cent in 2021, according to the latest sales report from property website Daft.ie. The average price nationwide in the final quarter of 2021 was €290,998, up 0.6 per cent on the third quarter of 2021 and just 21 per cent below the Celtic Tiger-era pe"
Fine Gael and Fianna Fáil caused the housing crisis – they cannot fix it,"We all have to-do lists that haunt us, plans we never got around to, resolutions that wavered as time passed. A lot of people also know the importance of deleting aspects of one’s online existence so that things don’t haunt your future, when you’re a new person with new thoughts, new intentions and "
Ashford House mixed-use investment for sale at €1.95m,The combination of Wicklow’s long-standing attraction as a tourist destination for both Irish and international visitors coupled with its growing popularity as a location of choice for those seeking a home in Dublin’s commuter belt should see strong interest in the sale of a major mixed-use investme
The ECB and housing policy,"Sir, – I would like to comment on the article ""The housing crisis is Europe-wide – the EU must help fix it"" (Anne Barrington, Opinion &amp; Analysis, December 22nd ). Although well-intentioned and containing some noteworthy elements aimed at alleviating stubbornly high – and rising – housing accomm"
David McWilliams: Here’s a way to lower houses prices and make all Irish people richer,"Ireland — a country that only 40 years ago had almost no manufacturing sector — is a manufacturing powerhouse. We have transformed our industrial base from what was a “beer and biscuits” economy, exporting derivatives of basic agriculture, into a highly efficient modern machine. With manufacturing o"
"Across Europe, rising housing costs threaten political upheaval","Kim van Sparrentak was sharing her Rotterdam apartment with three flatmates as she campaigned for election to the European Parliament in 2019. “When I got elected, I was still living with flatmates, and I was 29. I didn’t like – it was not my preferred option, so to say,” the Dutch Green MEP told Th"
‘Will price of houses just keep on rising?’,"Sir, – Cliff Taylor discusses many novel factors impacting property prices, such as Covid-induced relocations, investor fund activity, local authority purchases and so on, but fails entirely to mention the most obvious traditional factor – inflation ("" Will the price of houses just keep on rising ?"""
The return of Celtic Tiger house prices: How worried should we be?,"With property prices climbing by more than 14 per cent over the last 12 months, the dream of owning a house for many would-be first-time buyers seems further out of reach than ever. For the hundreds of thousands of people who bought homes during the Celtic Tiger and for the millions who suffered the"
Moving House? Here’s how to make the right move,"Why should I choose Moovingo to sell my property? Firstly, our results. Having now sold hundreds of properties it is clear that we achieve the very best results for our clients. We know that the knock-on effect of a happy customer is the best growth strategy any business can have. Our focus is alway"
"House price inflation, pension funds transparency and military lessons for workplaces",House price inflation is expected to remain at double-digit levels for much of 2022 as the mismatch between what is for sale and what buyers want continues. Two new reports on the Irish housing market paint a picture of a sector under strain due to a lack of supply and increased demand driven by C
Biden view that Putin ‘cannot remain in power’ not meant to back regime change – White House,"US president Joe Biden's comments in Poland today that Russia's leader Vladimir Putin ""cannot remain in power"" were later qualified by a White House official to be meant to prepare the world's democracies for extended conflict over Ukraine, and not to back regime change in Russia. Mr Biden’s comment"
"‘People need solutions now, not in 10 years’: TDs respond to housing plan","The Government has, at most, just over three years to show that its Housing for All plan has turned the tide in tackling the housing crisis. Sinn Féin is poised to seize upon any missed targets as it seeks power in the next election, due at the latest in early 2025. Fianna Fáil, Fine Gael and Green "
‘No silver bullet’ for credit unions and is there a dip in house prices coming?,"Minister of State with responsibility for financial services Seán Fleming said the planned credit unions legislation he is working on contains ""no silver bullet"" for a movement weighed down by excess deposits and muted lending, and that it is mainly up to the sector to help itself. Joe Brennan h"
UK house prices rise at fastest pace since before financial crisis,"UK house prices rose at the fastest pace since before the financial crisis in December after a sixth consecutive month of growth, according to Halifax. The average price of a home rose 1.1 per cent last month to a record £276,091 (€330,701), the mortgage lender said in a report published Friday. The"
Bord Pleanála blocks investors buying houses in two new schemes,An Bord Pleanála has moved to block institutional investors from purchasing houses en masse in two large scale residential schemes granted planning permission. In one ruling granting fast track planning permission to the Ballycullen Ltd Partnership for a €113 million 329 residential unit scheme at W
"Economy no longer as exposed to house price shock, ESRI says","The wider economy is not as exposed to swings in the housing market as it was when the financial crisis hit in 2008, according to a new paper from two Economic and Social Research Institute researchers.The massive swings in the housing market had a wider impact on employment and growth between 2007 "
"House prices ‘very close’ to Celtic Tiger levels after 12% rise, report says","Property prices are now “very close” to Celtic Tiger levels after rising about 12 per cent last year, and the spectre of rising inflation could force many young buyers out of the market, according to a new report. The latest Residential Property Price Barometer from the Institute of Professional Auc"
Government’s plan won’t fix our housing problem,"There are two fundamental forces fuelling the housing crisis here: supply and price. One is too low, the other too high. Everything flows from these two points, the rest is just noise. The Government – as illustrated by its new housing strategy, which promises 33,000 homes a year out to 2030 – is we"
Housing for All: Financial bazooka has high stakes especially for Fianna Fáil,"The long-awaited announcement of the Government’s Housing for All strategy on Thursday marks a massive investment of public money to address a major social need – and to solve a pressing political problem. But will it achieve either goal? ""Housing for All is the most ambitious housing plan in the hi"
"First-time buyers need deposits of €52,500 as house prices rise","The average deposit needed to buy a home is now €52,500 for a first-time buyer (FTB) and €135,000 for a mover purchaser, according to figures from the Banking and Payments Federation Ireland (BPFI). This is more than double what it was less than a decade ago, reflecting the rapid increase in house p"
Property industry lobby groups have aggravated the housing problem,"The property industry and its army of lobbyists do a great job of bending the Government's ear. Whether it's the planning code, apartment standards, or help-to-buy schemes, they campaign vigorously behind the scenes. According to the State's register of lobbying, the Construction Industry Federation"
New housing plan to allow State recoup part of land value increase after rezoning,Property owners and developers will have to pay the State up to half of the increase in the value of land when it is rezoned for housing under a key measure to be unveiled in the Housing for All plan. It is understood senior ministers have agreed that “land value sharing” will be included as part th
"House prices set to grow by up to 8% in 2022, Sherry FitzGerald says","House prices could grow by as much as 8 per cent in 2022 as supply constraints, exacerbated by the pandemic, continue to weigh on the market, the State's largest estate agent, Sherry FitzGerald, has warned. In its latest quarterly report, the company said “unexpectedly robust” demand was continuing "
House price inflation surges to 14.8% – highest in nearly seven years,"House prices grew at an annual rate of 14. 8 per cent in January, the sharpest level of growth seen in the market in almost seven years, as demand continues to outstrip supply. Central Statistics Office (CSO) figures show the State's property market continues to be stoked by pandemic-related factors"
The nightmare is over. We finally bought a house,"Well, we did it. We bought a house. It only took a year. As far as I know I don’t have any enemies, but even if I did, I wouldn’t wish the pain of buying a house right now on the worst of them. Once you are mortgage-approved it seems you need two things to buy a house: patience and luck. You will be"
"Irish families’ wealth is surging, helped by house prices","If Irish household wealth keeps increasing at current rates, it will exceed €1 trillion in 2022. In the middle of this year, the latest Central Bank figures showed that net wealth – households' assets minus borrowings – stood at €935 million, exactly €100 million higher than one year previously and"
UK house prices show strong start but slowdown predicted,"UK house prices registered their strongest start to the year since 2005 but the property market is set for a slowdown as the cost of living crisis intensifies, according to Nationwide Building Society. The average value of a home rose 0.8 per cent from December to £255,556 (€306,128), the mortgage l"
Berlin referendum shows the way on fixing Ireland’s housing crisis,"As housing costs continue to surge across Ireland, pushing people like me into exile in search of somewhere to live, some inspiration is to be found in one of Europe’s largest cities. It comes in the form of a referendum, held last Sunday in my adopted home of Berlin, as the nation went to the polls"
Affordable co-op house put on private market with 50% price rise,"A three-bedroom house, built in 2018 as part of an affordable-housing scheme for low and middle income workers in north Dublin, is being offered for sale on the private market at a mark-up of almost 50 per cent. Housing co-operative Ó Cualann Cohousing Alliance built the estate of 49 houses at Baile"
Housing starts now back at Celtic Tiger levels,"Housing starts are now back at Celtic Tiger levels, with Dublin and the mid-east region seeing the biggest pick-up in activity, according to estate agent Sherry FitzGerald. In its annual review of the housing market, the company noted that more than 30,700 new residential units were commenced in 202"
David McWilliams: Sinn Féin ‘will change the housing market’,"It’s the second event of the Irish Times Winter Nights festival and David McWilliams, commentator, broadcaster and explainer of economic complexity, is being grilled by the Irish Times’s resident economics guru, Cliff Taylor. The topic is, ostensibly, the post-pandemic economy but it ends up being w"
Housing For All has a lot to commend it but fails to address key issues,"The detailed plan for the housing sector, published by the Department last week, represents a significant step forward. It brings together the wide range of policies needed to expand housebuilding, and to ensure that those who are currently seriously impacted by the housing shortage can look forward"
Sinn Féin brands Government housing plan a ‘shambles’,"Sinn Féin has branded the still-unpublished Government housing plan a “shambles”, accusing Minister for Housing Darragh O’Brien of a last-minute scramble for policy ideas. Eoin O Broin, the party's housing spokesman, said Fianna Fáil would not have the Taoiseach's chair by the time the Housing for A"
Stephen Collins: SF hypocrisy on housing a challenge to Government,"The relentless Sinn Féin campaign against the Government for its failures on housing while it simultaneously opposes so many new housing projects across the Dublin region represents a breathtaking level of hypocrisy at the very least. A more malign, and probably more accurate, explanation of its str"
Fianna Fáil Senator objects to housing development in Waterford Gaeltacht,"Fianna Fáil Senator Lorraine Clifford-Lee, who is based in north Co Dublin, has defended a decision to object to a proposed 46-home development in a Co Waterford Gaeltacht area. Shine Bright Ltd had applied for planning permission for a housing development at Mweelahorna, An Rinn, a small Gaeltacht "
"Houses on RTÉ’s ‘Exclusive Homes’ show do sell, but not always for the asking price","Can a television programme sell a house? There's no way of knowing for sure, but since Selling Ireland's Most Exclusive Home s aired back in September, a number of homes featured on the RTÉ programme have sold – some at dizzying prices, and one at significantly below asking. One of the most expen"
Government asking Catholic Church for land to build housing on is farcical,"Is there not something entirely farcical about the Government asking the Catholic Church for land to build housing on? Minister for Housing Darragh O'Brien has written to the Primate of All Ireland, Archbishop of Armagh Eamon Martin, seeking land and vacant property that could be used as part of the"
Turf ban: Plenty of huffing and puffing but it won’t blow the House down,There’s been plenty of huffing and puffing about Eamon Ryan’s turf ban but none of it will blow the House down. When Government TDs vote on the Sinn Féin private members tonight will any turn to the right at the top of the Dáil chambers stairs and go into the opposition lobby? The answer to that is 
The Irish Times view on the Government housing plan: the real test is in the delivery,"It has been clear for some time that, for both practical and political reasons, a lot of additional State resources were going to go towards housing. The Housing for All plan lays out in detail how a lot of this is intended to happen, involving massive spending of some €4 billion a year to help to d"
Housing plan: ‘The idea we can catch up by 2030 isn’t going to help people now’,"Would-be first time buyer, Rory Fuller doubts that the Government can build 300,000 new homes by 2030, but he is in no doubt that it needs to do more, and quicker. “Building 300,000 by 2030 – that’s a long time away for people looking for houses now, so the idea we can catch up by 2030 isn’t going t"
Changing your heating: Everything you need to know about making your house warmer,"Tired of feeling cold in your home? If draughts blow the curtains in on a windy night or you have to resort to wearing several geansaís while indoors, then it’s time to consider a heating upgrade. The cheapest way to give an existing heating system a boost is to install a control system, according t"
‘Unsustainable’ credit won’t deliver viable housing supply – Central Bank,"Giving households access to ""unsustainable"" amounts of credit to buy homes will not lead to a much-needed sustainable supply of properties, Central Bank deputy governor Sharon Donnery said on Thursday. The comments underscore a reluctance by the Central Bank to introduce major changes to its mortgag"
Landmark house in Ranelagh with pristine makeover for €2.25m,"The two doors at the base of the front steps of Number 54 Sandford Road in Ranelagh, Dublin 6, are the only indication that this grand, landmark, 19th-century house was subdivided in a previous life. Once inside, there are no traces of the 11 flats that made up the interior when it was advertised fo"
Sinn Féin accuses Government of ‘dithering’ on housing crisis,The Government has been accused of “dithering” on the housing crisis by Sinn Féin housing spokesman Eoin Ó Broin following the publication of two reports this week which showed the supply of new homes continues to fall well below demand. A report by property industry group Irish Institutional Proper
Ireland needs to fully embrace community-led housing,"The delayed Housing for All Strategy is supposed to guide the next nine years of housing policy in Ireland. If it does not have a strong focus on community-led housing, it will be a tragic missed opportunity. Community-led housing is an umbrella term for approaches where groups not only have a high "
Cost of living and price of housing identified as key challenges,"The cost of living and the price of housing are the key issues facing the economy and people's personal finances, according to a survey by Permanent TSB (PTSB). PTSB published the latest edition of its Reflecting Ireland research series on Friday. The series polls public attitudes each quarter and i"
Central Bank decision on shared-equity housing scheme set for November,"The Central Bank will formally decide in November on whether the banks can participate in the Government's proposed shared-equity housing scheme. In a letter to Sinn Féin’s housing spokesman Eoin Ó Broin, the regulator confirmed that it was considering “the interaction” between its mortgage rules an"
"Taoiseach, Sinn Féin leader trade insults in ongoing row over housing crisis",Taoiseach Micheál Martin and Sinn Féin leader Mary Lou McDonald traded insults in the Dáil in the ongoing controversy over the housing crisis. Mr Martin accused Ms McDonald’s party of “electioneering” and politically exploiting the situation while at the same time opposing housing developments acros
Delivery key to prospects for success of Coalition housing plan,"Ireland’s typical househunter is a person or a couple in their early 30s. They are either paying rent while struggling to save for a mortgage deposit, or still living under their parents’ roofs. The Government’s landmark Housing for All plan is designed to give such people hope that some day – soon "
House prices in Northern Ireland rise by almost 10%,"The average house price in Northern Ireland rose by almost 10 per cent in the second quarter compared with the same time last year, according to Ulster University (UU). The housing market also recorded the highest volume of transactions since 2005. The Northern Ireland Quarterly House Price Index, w"
"Dublin build-to-rent scheme will exacerbate housing crisis, SF leader says","Sinn Féin leader Mary Lou McDonald has said that if planning is approved for the 1,614 build-to-rent apartments on the grounds of Clonliffe College in Drumcondra, Dublin, it would only exacerbate the housing crisis. The Dublin Central TD is one of 120 parties to make submissions on the €610 million "
"50,000 new homes needed every year to solve housing crisis – industry report","The State will need to build almost 50,000 homes a year for the next 30 years “if its housing stock is to reflect the country’s demographics,” a new report has claimed. The analysis by property economist Ronan Lyons and industry body Irish Institutional Property (IIP) said building on this scale wou"
Could Ireland use European Union funding to build houses?,"Within the European Union, housing policy is a matter for national and local authorities. But though EU laws do not directly address housing, a combination of regulations and funding incentives shape national policies. The European Union's budget rules — which hold member states to running an annual"
House price inflation expected to hit 12% before falling back in 2022,"House price inflation is likely to climb to 12 per cent this year before falling back sharply in 2022 as supply comes on and affordability constraints kick in, the chief executive of DNG estate agents has said. Keith Lowe said the current uptick in prices was being driven by Covid-related factors su"
Estate agent finds it pays whether you advertise or not in current housing market,"Letting agents in Kilkenny have stopped advertising properties for rent as they will be “swamped” by phone calls from people desperately wanting a home, a leading housing agent has said. Estate agent Michael Boyd, who is based in Kilkenny city for 30 years, says his business and other agents are no "
Michael O’Flynn: ‘Land value sharing’ proposals will increase house prices,"The proposal from the Government, reported in The Irish Times, that the State would receive up to 50 per cent of the value uplift on a site when it is zoned for new homes will not deliver any extra land for housing and will only make new houses more expensive. It is yet another example of decision m"
A surge in house prices – but where is the money coming from?,The latest house price figures show that property demand remains strong . But where is the cash coming from that is driving the market? A few key factors are in play: higher mortgage lending across the board; the huge build-up of savings in people’s bank accounts; and support from parents for many f
Housing for All: What is in the plan for you?,"The Government’s housing plans will cost billions and promises much. But what exactly is it setting out to deliver? The headline numbers Minister Darragh O'Brien has said the plan represents the ""largest State building programme in our history"", promising 312,750 new homes between 2022 to the end of"
John FitzGerald: Fears of surge in Irish house prices over next 18 months,"A key factor in the financial crisis was the exceptionally risky behaviour of banks’ lending to property developers and to households. In turn, there was an abject failure by the Central Bank to ensure that banks did not take excessive risk, and also to ensure that borrowers did not bite off more th"
The Gambia’s Memory House offers chance to educate youth about Jammeh,"Down a quiet sandy road in Kanifing, an area close to The Gambia’s capital, Banjul, a colourful building holds the first memorial centre for victims of the country’s most recent dictator. Rooms are filled with glass cases holding mementos of the dead and disappeared, surrounded by photographs of gri"
"ECB warns of ‘exuberance’ in housing, junk bonds and crypto assets","Increased ""exuberance"" in housing markets, junk bonds and crypto assets has created vulnerabilities that will be exposed if higher than expected inflation leads to a sharp rise in interest rates, the European Central Bank has warned. This year’s rebound in the euro zone economy from the coronavirus "
"Affordable housing model could earn State money over time, conference hears","The provision of affordable housing could over time make the State money and increase local income by several million euro per year, an online conference on the future of renting and housing in Ireland has heard. The national housing charity, Threshold, and the Economic and Social Research Institute"
